lon,lat,mmh,thunderstorm,hail
51.32859,47.68526,0.000,0,0
51.36858,47.68526,0.000,0,0
51.40858,47.68526,0.000,0,0
51.44857,47.68526,0.000,0,0
51.48856,47.68526,0.000,0,0
51.52855,47.68526,0.000,0,0
51.56854,47.68526,0.000,0,0
51.60853,47.68526,0.000,0,0
51.64852,47.68526,0.000,0,0
51.68851,47.68526,0.000,0,0
51.72850,47.68526,0.000,0,0
51.76850,47.68526,0.000,0,0
51.80849,47.68526,0.000,0,0
51.84848,47.68526,0.000,0,0
51.88847,47.68526,0.000,0,0
51.92846,47.68526,0.000,0,0
36.93179,47.64530,0.000,0,0
36.97178,47.64530,0.000,0,0
37.01178,47.64530,0.000,0,0
37.05177,47.64530,0.000,0,0
37.09176,47.64530,0.000,0,0
37.13175,47.64530,0.000,0,0
37.17174,47.64530,0.000,0,0
37.21173,47.64530,0.000,0,0
37.25172,47.64530,0.000,0,0
37.29171,47.64530,0.000,0,0
37.33170,47.64530,0.000,0,0
37.37170,47.64530,0.000,0,0
37.41169,47.64530,0.000,0,0
37.45168,47.64530,0.000,0,0
37.49167,47.64530,0.000,0,0
37.53166,47.64530,0.000,0,0
37.57165,47.64530,0.000,0,0
37.61164,47.64530,0.000,0,0
37.65163,47.64530,0.000,0,0
37.69162,47.64530,0.000,0,0
37.73162,47.64530,0.000,0,0
37.77161,47.64530,0.000,0,0
37.81160,47.64530,0.000,0,0
37.85159,47.64530,0.000,0,0
37.89158,47.64530,0.000,0,0
37.93157,47.64530,0.000,0,0
37.97156,47.64530,0.000,0,0
38.01155,47.64530,0.000,0,0
38.05154,47.64530,0.000,0,0
38.09154,47.64530,0.000,0,0
38.13153,47.64530,0.000,0,0
38.17152,47.64530,0.000,0,0
38.21151,47.64530,0.000,0,0
38.25150,47.64530,0.000,0,0
38.29149,47.64530,0.000,0,0
38.33148,47.64530,0.000,0,0
38.37147,47.64530,0.000,0,0
38.41146,47.64530,0.000,0,0
38.45146,47.64530,0.000,0,0
38.49145,47.64530,0.000,0,0
38.53144,47.64530,0.000,0,0
38.57143,47.64530,0.000,0,0
38.61142,47.64530,0.000,0,0
38.65141,47.64530,0.000,0,0
38.69140,47.64530,0.000,0,0
38.73139,47.64530,0.000,0,0
38.77138,47.64530,0.000,0,0
38.81138,47.64530,0.000,0,0
38.85137,47.64530,0.000,0,0
38.89136,47.64530,0.000,0,0
38.93135,47.64530,0.000,0,0
38.97134,47.64530,0.000,0,0
39.01133,47.64530,0.000,0,0
39.05132,47.64530,0.000,0,0
39.09131,47.64530,0.000,0,0
39.13130,47.64530,0.000,0,0
39.17130,47.64530,0.000,0,0
39.21129,47.64530,0.000,0,0
39.25128,47.64530,0.000,0,0
39.29127,47.64530,0.000,0,0
39.33126,47.64530,0.000,0,0
39.37125,47.64530,0.000,0,0
39.41124,47.64530,0.000,0,0
39.45123,47.64530,0.000,0,0
39.49122,47.64530,0.000,0,0
39.53122,47.64530,0.000,0,0
39.57121,47.64530,0.000,0,0
39.61120,47.64530,0.000,0,0
39.65119,47.64530,0.000,0,0
39.69118,47.64530,0.000,0,0
39.73117,47.64530,0.000,0,0
39.77116,47.64530,0.000,0,0
39.81115,47.64530,0.000,0,0
39.85114,47.64530,0.000,0,0
39.89114,47.64530,0.000,0,0
39.93113,47.64530,0.000,0,0
39.97112,47.64530,0.000,0,0
40.01111,47.64530,0.000,0,0
40.05110,47.64530,0.000,0,0
40.09109,47.64530,0.000,0,0
40.13108,47.64530,0.000,0,0
40.17107,47.64530,0.000,0,0
40.21106,47.64530,0.000,0,0
40.25106,47.64530,0.000,0,0
40.29105,47.64530,0.000,0,0
40.33104,47.64530,0.000,0,0
40.37103,47.64530,0.000,0,0
40.41102,47.64530,0.000,0,0
40.45101,47.64530,0.000,0,0
40.49100,47.64530,0.000,0,0
40.53099,47.64530,0.000,0,0
40.57098,47.64530,0.000,0,0
40.61098,47.64530,0.000,0,0
40.65097,47.64530,0.000,0,0
40.69096,47.64530,0.000,0,0
40.73095,47.64530,0.000,0,0
40.77094,47.64530,0.000,0,0
40.81093,47.64530,0.000,0,0
40.85092,47.64530,0.000,0,0
40.89091,47.64530,0.000,0,0
40.93090,47.64530,0.000,0,0
40.97090,47.64530,0.000,0,0
41.01089,47.64530,0.000,0,0
41.05088,47.64530,0.000,0,0
41.09087,47.64530,0.000,0,0
41.13086,47.64530,0.000,0,0
41.17085,47.64530,0.000,0,0
41.21084,47.64530,0.000,0,0
41.25083,47.64530,0.000,0,0
41.29082,47.64530,0.000,0,0
41.33082,47.64530,0.000,0,0
41.37081,47.64530,0.000,0,0
41.41080,47.64530,0.000,0,0
41.45079,47.64530,0.000,0,0
41.49078,47.64530,0.000,0,0
41.53077,47.64530,0.000,0,0
41.57076,47.64530,0.000,0,0
41.61075,47.64530,0.000,0,0
41.65074,47.64530,0.000,0,0
41.69074,47.64530,0.000,0,0
41.73073,47.64530,0.000,0,0
41.77072,47.64530,0.000,0,0
41.81071,47.64530,0.000,0,0
41.85070,47.64530,0.000,0,0
41.89069,47.64530,0.000,0,0
41.93068,47.64530,0.000,0,0
41.97067,47.64530,0.000,0,0
42.01066,47.64530,0.000,0,0
42.05066,47.64530,0.000,0,0
42.09065,47.64530,0.000,0,0
42.13064,47.64530,0.000,0,0
42.17063,47.64530,0.000,0,0
42.21062,47.64530,0.000,0,0
42.25061,47.64530,0.000,0,0
42.29060,47.64530,0.000,0,0
42.33059,47.64530,0.000,0,0
42.37058,47.64530,0.000,0,0
42.41058,47.64530,0.000,0,0
42.45057,47.64530,0.000,0,0
42.49056,47.64530,0.000,0,0
42.53055,47.64530,0.000,0,0
42.57054,47.64530,0.000,0,0
42.61053,47.64530,0.000,0,0
42.65052,47.64530,0.000,0,0
42.69051,47.64530,0.000,0,0
42.73050,47.64530,0.000,0,0
42.77050,47.64530,0.000,0,0
42.81049,47.64530,0.000,0,0
42.85048,47.64530,0.000,0,0
42.89047,47.64530,0.000,0,0
42.93046,47.64530,0.000,0,0
42.97045,47.64530,0.000,0,0
43.01044,47.64530,0.000,0,0
43.05043,47.64530,0.000,0,0
43.09042,47.64530,0.000,0,0
43.13042,47.64530,0.000,0,0
43.17041,47.64530,0.000,0,0
43.21040,47.64530,0.000,0,0
43.25039,47.64530,0.000,0,0
43.29038,47.64530,0.000,0,0
43.33037,47.64530,0.000,0,0
43.37036,47.64530,0.000,0,0
43.41035,47.64530,0.000,0,0
43.45034,47.64530,0.000,0,0
43.49034,47.64530,0.000,0,0
43.53033,47.64530,0.000,0,0
43.57032,47.64530,0.000,0,0
43.61031,47.64530,0.000,0,0
